id,category,difficulty,question,expected_answer
1,Definition,Easy,"Why does the book consider linear algebra a fundamental prerequisite for deep learning?","Linear algebra provides the mathematical framework for representing data, neural network parameters, and transformations using vectors and matrices. Understanding these concepts is essential for explaining how deep learning models process and learn from data."
2,Definition,Easy,"What is a matrix in the context of deep learning?","A matrix is a two-dimensional array of numerical values used to represent datasets, model parameters, or mathematical transformations. It enables efficient computation through matrix operations."
3,Explanation,Medium,"Why are matrices preferred over ordinary tables for computations in deep learning?","Unlike tables that contain descriptive labels, matrices contain only numerical values, allowing efficient mathematical operations such as addition, multiplication, and optimization that are fundamental to neural network computations."
4,Definition,Easy,"What is a vector, and how is it related to a matrix?","A vector is a one-dimensional array of numbers and can be viewed as a special case of a matrix with either one row or one column. Vectors commonly represent individual data points or model parameters."
5,Comparison,Medium,"How does matrix addition differ from matrix multiplication?","Matrix addition combines corresponding elements of matrices having identical dimensions, whereas matrix multiplication computes dot products between rows and columns and requires compatible dimensions."
6,Reasoning,Medium,"Why can matrices of different dimensions not be added together?","Matrix addition requires every element in one matrix to correspond to an element in the other. If the dimensions differ, some entries have no matching counterparts, making addition undefined."
7,Application,Medium,"How are matrices typically used to represent datasets in deep learning?","Each row generally represents an individual sample, while each column corresponds to a feature. This representation allows machine learning algorithms to process many examples simultaneously."
8,Reasoning,Hard,"Why is matrix multiplication not commutative, and what implication does this have for neural network computations?","Changing the order of matrix multiplication changes which rows interact with which columns, often producing different results or making the operation impossible. Consequently, the order of operations in neural networks must be carefully maintained."
9,Definition,Easy,"What is an identity matrix?","An identity matrix is a square matrix containing ones on the main diagonal and zeros elsewhere. Multiplying a compatible matrix by the identity matrix leaves the original matrix unchanged."
10,Reasoning,Medium,"Why is the identity matrix important in linear algebra?","It serves as the multiplicative identity, preserving matrices during multiplication and playing an essential role in defining matrix inverses and solving linear systems."
11,Definition,Easy,"What is the inverse of a matrix?","The inverse of a matrix is another matrix that, when multiplied with the original matrix, produces the identity matrix. It exists only for invertible square matrices."
12,Reasoning,Hard,"Why must a matrix be square before it can have an inverse?","The inverse must satisfy multiplication on both sides to produce the identity matrix. This is only possible when the original matrix has equal numbers of rows and columns."
13,Definition,Easy,"What is the dot product of two vectors?","The dot product is the sum of the products of corresponding vector elements and produces a single scalar value."
14,Definition,Easy,"What does it mean for two vectors to be orthogonal?","Two vectors are orthogonal if their dot product equals zero, indicating that they are perpendicular in geometric space."
15,Application,Medium,"How does matrix-vector multiplication differ conceptually from matrix-matrix multiplication?","Matrix-vector multiplication transforms a single vector using a matrix, whereas matrix-matrix multiplication combines two transformations or datasets into a new matrix."
16,Definition,Medium,"What is the column space of a matrix?","The column space is the set of all possible linear combinations of a matrix's columns, representing every vector that can be produced through matrix-vector multiplication."
17,Reasoning,Hard,"Why is the column space important for understanding data representations?","The column space captures all information expressible by the matrix's columns. Identifying its basis removes redundant features and provides a more compact representation of the underlying data."
18,Definition,Medium,"What is a basis of a vector space?","A basis is the smallest set of linearly independent vectors that spans the entire vector space, allowing every vector in the space to be represented as their linear combination."
19,Comparison,Medium,"How does a spanning set differ from a basis?","A spanning set can contain redundant vectors while still covering the entire vector space, whereas a basis contains only linearly independent vectors and is therefore the minimal spanning set."
20,Reasoning,Hard,"Why is removing redundant features valuable when building deep learning models?","Removing redundant features produces more compact representations, reduces unnecessary computation, and can improve learning efficiency while preserving the essential information contained in the original data."
21,Definition,Medium,"What is the null space of a matrix?","The null space of a matrix is the set of all vectors that produce the zero vector when multiplied by the matrix. It contains every solution to the equation Av = 0."
22,Reasoning,Hard,"Why does the existence of a nontrivial null space imply that a matrix is not invertible?","If multiple nonzero vectors map to the same output vector, the transformation cannot be uniquely reversed. Therefore, a matrix with a nontrivial null space cannot possess an inverse."
23,Comparison,Medium,"How does the column space differ from the null space of a matrix?","The column space consists of all vectors that can be generated by the matrix, whereas the null space consists of all vectors that the matrix maps to zero."
24,Definition,Easy,"What is an eigenvector of a matrix?","An eigenvector is a nonzero vector whose direction remains unchanged after a matrix transformation, changing only by a scalar factor called the eigenvalue."
25,Definition,Easy,"What is an eigenvalue?","An eigenvalue is the scalar by which an eigenvector is stretched or compressed during a matrix transformation."
26,Reasoning,Hard,"Why are eigenvectors and eigenvalues important in data science?","They reveal important structural properties of matrices and form the mathematical foundation of dimensionality reduction techniques such as Principal Component Analysis."
27,Application,Medium,"How does Principal Component Analysis make use of eigenvectors?","PCA identifies the principal directions of variation in data using eigenvectors of the correlation or covariance matrix and projects the data onto these directions."
28,Reasoning,Hard,"Why is dimensionality reduction useful before training deep learning models?","Reducing dimensionality removes redundant information, lowers computational cost, decreases storage requirements, and can improve model generalization."
29,Definition,Easy,"What is probability in the context of machine learning?","Probability is the mathematical framework used to quantify uncertainty and reason about uncertain events and observations."
30,Definition,Easy,"What is a sample space?","A sample space is the complete set of all possible outcomes of an experiment."
31,Definition,Easy,"What is an event in probability theory?","An event is any subset of the sample space representing one or more possible outcomes."
32,Reasoning,Medium,"Why must the probabilities of all outcomes in a sample space sum to one?","The sample space contains every possible outcome of an experiment, so the total certainty that one of those outcomes will occur must equal one."
33,Comparison,Medium,"How does the frequentist interpretation of probability differ from the Bayesian interpretation?","The frequentist view interprets probability as long-run frequency of outcomes, whereas the Bayesian view interprets probability as a degree of belief that can be updated using evidence."
34,Reasoning,Hard,"Why is the Bayesian perspective particularly useful in machine learning?","It provides a principled framework for incorporating prior knowledge and updating beliefs as new observations become available."
35,Definition,Easy,"What is a prior distribution?","A prior distribution represents beliefs about unknown quantities before observing any data."
36,Definition,Easy,"What is a posterior distribution?","A posterior distribution represents updated beliefs after incorporating observed evidence into the prior distribution."
37,Application,Medium,"How can Bayesian thinking be applied to neural network training?","Model parameters can initially be assigned prior distributions, and training updates these beliefs based on observed data to obtain posterior distributions."
38,Definition,Easy,"What is conditional probability?","Conditional probability measures the probability of an event occurring given that another event has already occurred."
39,Reasoning,Medium,"Why does conditional probability change our estimate of an event?","Knowing that another event has occurred provides additional information that may increase or decrease the likelihood of the event being considered."
40,Comparison,Hard,"How are conditional probability and unconditional probability different?","Unconditional probability considers an event without additional information, whereas conditional probability incorporates knowledge that another event has already occurred."
41,Definition,Easy,"What does it mean for two events to be independent?","Two events are independent if the occurrence of one does not affect the probability of the other."
42,Comparison,Medium,"How do independent events differ from mutually exclusive events?","Independent events can occur together without influencing each other's probabilities, whereas mutually exclusive events cannot occur at the same time."
43,Definition,Easy,"What is Bayes' theorem?","Bayes' theorem provides a mathematical rule for updating conditional probabilities by combining prior knowledge with new evidence."
